User,Movie,Rating
1,Interstellar,2
1,Inception,1
1,Titanic,1
1,Avatar,3
1,Joker,3
1,Matrix,1
1,Batman,3
1,Toy Story,2
2,Interstellar,5
2,Inception,4
2,Titanic,4
2,Avatar,5
2,Joker,3
2,Matrix,1
2,Batman,1
2,Toy Story,4
2,Frozen,5
3,Interstellar,1
3,Titanic,4
3,Avatar,3
3,Joker,2
3,Avengers,1
3,Batman,1
3,Toy Story,5
3,Frozen,5
4,Interstellar,5
4,Inception,5
4,Titanic,5
4,Avatar,2
4,Joker,3
4,Matrix,5
4,Avengers,1
4,Toy Story,3
4,Frozen,2
5,Interstellar,4
5,Inception,3
5,Titanic,5
5,Avatar,1
5,Joker,1
5,Matrix,5
5,Avengers,1
5,Batman,1
5,Toy Story,1
5,Frozen,3
6,Interstellar,4
6,Avatar,1
6,Joker,5
6,Matrix,4
6,Avengers,3
6,Batman,4
6,Toy Story,2
6,Frozen,3
7,Titanic,1
7,Joker,3
7,Avengers,5
7,Toy Story,2
8,Interstellar,2
8,Inception,1
8,Titanic,2
8,Avatar,4
8,Joker,3
8,Batman,3
8,Toy Story,3
8,Frozen,4
9,Titanic,4
9,Avatar,2
9,Matrix,5
9,Avengers,5
10,Interstellar,4
10,Inception,1
10,Titanic,2
10,Joker,1
10,Matrix,5
10,Avengers,3
10,Toy Story,5
10,Frozen,2
11,Interstellar,1
11,Inception,3
11,Titanic,2
11,Avatar,4
11,Joker,4
11,Matrix,2
11,Batman,4
11,Toy Story,4
11,Frozen,2
12,Interstellar,2
12,Inception,5
12,Titanic,1
12,Avatar,1
12,Joker,3
12,Toy Story,1
13,Interstellar,1
13,Inception,1
13,Titanic,2
13,Joker,5
13,Matrix,4
13,Frozen,4
14,Interstellar,1
14,Inception,4
14,Titanic,4
14,Avatar,3
14,Joker,2
14,Matrix,5
14,Avengers,4
14,Batman,1
14,Toy Story,1
15,Interstellar,1
15,Inception,5
15,Titanic,2
15,Matrix,2
15,Batman,1
15,Toy Story,5
16,Interstellar,1
16,Inception,5
16,Titanic,5
16,Avatar,5
16,Joker,1
16,Matrix,4
16,Avengers,5
16,Batman,5
