SepalLength,SepalWidth,PetalLength,PetalWidth,Species
5.96,3.44,4.19,1.41,1
6.88,3.02,6.23,1.5,2
5.54,3.11,3.29,1.4,1
5.24,3.41,1.58,0.54,0
6.91,2.82,3.93,1.2,1
7.27,2.54,5.39,2.3,2
5.15,3.79,1.4,0.24,0
4.98,4.16,1.83,0.25,0
6.89,3.34,4.49,1.15,1
6.92,2.54,3.54,0.99,1
6.9,3.59,5.9,2.13,2
6.0,2.57,4.41,1.29,1
5.41,3.27,1.63,0.35,0
6.33,2.74,6.38,2.69,2
5.98,3.3,3.4,1.69,1
5.42,3.66,1.79,0.35,0
4.61,3.75,1.48,0.54,0
5.75,3.41,4.99,1.06,1
6.75,3.46,4.75,0.92,1
6.44,2.54,6.51,2.63,2
6.56,3.75,6.39,1.92,2
6.46,3.15,5.76,2.08,2
6.67,3.21,3.85,0.89,1
5.34,3.65,1.13,0.21,0
7.89,2.83,6.99,2.45,2
4.68,3.39,1.65,0.1,0
6.31,2.66,5.16,2.72,2
6.62,2.65,3.88,1.45,1
6.15,2.58,3.72,1.58,1
5.64,3.2,3.92,1.79,1
4.51,4.01,1.79,0.38,0
7.98,3.76,6.82,1.93,2
7.46,3.71,6.95,1.67,2
4.87,3.18,1.3,0.15,0
7.78,2.99,6.03,1.76,2
7.11,2.54,5.98,1.68,2
4.57,3.14,1.57,0.49,0
6.47,2.25,3.33,1.65,1
6.96,3.57,6.64,2.04,2
6.87,3.57,5.41,2.47,2
6.4,2.2,4.83,1.61,1
6.91,2.01,3.67,0.94,1
6.27,2.71,6.03,2.06,2
5.16,4.05,1.05,0.54,0
6.96,3.07,7.0,2.24,2
4.55,4.1,1.04,0.39,0
4.54,4.02,1.86,0.57,0
7.15,3.61,6.66,2.33,2
6.07,2.51,3.49,1.17,1
6.85,3.15,3.46,1.76,1
5.62,2.06,3.75,1.3,1
6.43,2.84,4.16,1.37,1
6.77,2.16,3.76,1.31,1
5.68,2.86,3.68,1.46,1
7.05,3.55,6.9,2.34,2
6.51,3.32,6.57,2.06,2
4.74,3.09,1.47,0.39,0
5.22,3.73,1.88,0.56,0
5.55,3.58,1.17,0.17,0
5.76,3.39,1.19,0.2,0
5.77,3.48,1.54,0.32,0
7.52,2.73,5.63,2.52,2
6.06,2.38,3.95,1.07,1
4.77,4.02,1.85,0.3,0
5.7,2.21,4.86,1.47,1
6.94,2.81,6.55,1.53,2
6.39,2.86,3.07,1.59,1
5.81,2.64,3.74,1.8,1
5.13,3.79,1.07,0.32,0
6.97,2.57,3.16,0.87,1
6.32,2.31,4.07,0.81,1
5.52,3.02,4.81,1.76,1
6.77,3.41,5.93,2.7,2
5.71,2.81,3.04,0.92,1
5.63,2.19,4.14,0.85,1
5.88,2.61,3.3,1.74,1
5.55,3.13,3.26,1.12,1
6.68,2.49,3.79,1.15,1
5.7,3.75,1.54,0.49,0
6.99,3.02,3.08,1.32,1
5.63,3.56,1.87,0.54,0
5.65,3.08,1.8,0.34,0
6.92,2.95,4.42,1.2,1
7.02,3.75,6.84,2.34,2
5.63,3.3,1.35,0.52,0
6.33,2.09,3.34,1.01,1
5.39,3.95,1.05,0.35,0
5.17,3.79,1.72,0.11,0
5.62,2.1,3.24,1.18,1
